N_max,P_mem,OITR,P_acc,P_pool,P_upsamp,P_yolo,BRAM_sys,DSP_sys,Latency_network
16,1,4,2,2,4,4,81,53,2926.805326
16,1,4,4,1,4,1,82,37,2927.670606
16,1,4,4,1,4,2,82,43,2927.670606
16,1,4,4,1,4,4,82,55,2927.670606
16,1,4,4,2,4,1,82,37,2926.805326
16,1,4,4,2,4,2,82,43,2926.805326
16,1,4,4,2,4,4,82,55,2926.805326
16,2,1,2,1,4,1,90,53,2546.057822
16,2,1,2,1,4,2,90,59,2546.057822
16,2,1,2,1,4,4,90,71,2546.057822
16,2,1,2,2,4,1,90,53,2545.192542
16,2,1,2,2,4,2,90,59,2545.192542
16,2,1,2,2,4,4,90,71,2545.192542
16,2,1,4,1,4,1,91,55,2546.057822
16,2,1,4,1,4,2,91,61,2546.057822
16,2,1,4,1,4,4,91,73,2546.057822
16,2,1,4,2,4,1,91,55,2545.192542
16,2,1,4,2,4,2,91,61,2545.192542
16,2,1,4,2,4,4,91,73,2545.192542
16,2,2,2,1,4,1,90,53,1626.740712
16,2,2,2,1,4,2,90,59,1626.740712
16,2,2,2,1,4,4,90,71,1626.740712
16,2,2,2,2,4,1,90,53,1625.875432
16,2,2,2,2,4,2,90,59,1625.875432
16,2,2,2,2,4,4,90,71,1625.875432
16,2,2,4,1,4,1,91,55,1626.740712
16,2,2,4,1,4,2,91,61,1626.740712
16,2,2,4,1,4,4,91,73,1626.740712
16,2,2,4,2,4,1,91,55,1625.875432
16,2,2,4,2,4,2,91,61,1625.875432
16,2,2,4,2,4,4,91,73,1625.875432
16,2,3,2,1,4,1,90,53,1626.740712
16,2,3,2,1,4,2,90,59,1626.740712
16,2,3,2,1,4,4,90,71,1626.740712
16,2,3,2,2,4,1,90,53,1625.875432
16,2,3,2,2,4,2,90,59,1625.875432
16,2,3,2,2,4,4,90,71,1625.875432
16,2,3,4,1,4,1,91,55,1626.740712
16,2,3,4,1,4,2,91,61,1626.740712
16,2,3,4,1,4,4,91,73,1626.740712
16,2,3,4,2,4,1,91,55,1625.875432
16,2,3,4,2,4,2,91,61,1625.875432
16,2,3,4,2,4,4,91,73,1625.875432
16,2,4,2,1,4,1,90,53,1597.470606
16,2,4,2,1,4,2,90,59,1597.470606
16,2,4,2,1,4,4,90,71,1597.470606
16,2,4,2,2,4,1,90,53,1596.605326
16,2,4,2,2,4,2,90,59,1596.605326
16,2,4,2,2,4,4,90,71,1596.605326
16,2,4,4,1,4,1,91,55,1597.470606
16,2,4,4,1,4,2,91,61,1597.470606
16,2,4,4,1,4,4,91,73,1597.470606
16,2,4,4,2,4,1,91,55,1596.605326
16,2,4,4,2,4,2,91,61,1596.605326
16,2,4,4,2,4,4,91,73,1596.605326
16,4,1,2,1,4,1,108,89,1481.927902
16,4,1,2,1,4,2,108,95,1481.927902
16,4,1,2,1,4,4,108,107,1481.927902
16,4,1,2,2,4,1,108,89,1481.062622
16,4,1,2,2,4,2,108,95,1481.062622
16,4,1,2,2,4,4,108,107,1481.062622
16,4,1,4,1,4,1,109,91,1481.927902
16,4,1,4,1,4,2,109,97,1481.927902
16,4,1,4,1,4,4,109,109,1481.927902
16,4,1,4,2,4,1,109,91,1481.062622
16,4,1,4,2,4,2,109,97,1481.062622
16,4,1,4,2,4,4,109,109,1481.062622
16,4,2,2,1,4,1,108,89,947.629352
16,4,2,2,1,4,2,108,95,947.629352
16,4,2,2,1,4,4,108,107,947.629352
16,4,2,2,2,4,1,108,89,946.764072
16,4,2,2,2,4,2,108,95,946.764072
16,4,2,2,2,4,4,108,107,946.764072
16,4,2,4,1,4,1,109,91,947.629352
16,4,2,4,1,4,2,109,97,947.629352
16,4,2,4,1,4,4,109,109,947.629352
16,4,2,4,2,4,1,109,91,946.764072
